ID,Pesan,Label
1,Dapatkan diskon 50% untuk produk X! Klik link ini: http://promo.xyz,Spam
2,"Apa kabar, sudah lama tidak bertemu!",Ham
3,Promo akhir tahun! Dapatkan hadiah menarik jika mendaftar.,Spam
4,"Selamat pagi, bagaimana hari Anda?",Ham
5,"Penting: Akun Anda diblokir, segera aktifkan kembali!",Spam
6,"Terima kasih telah membeli produk kami, semoga puas dengan barangnya!",Ham
7,"Jangan lewatkan kesempatan emas ini, daftar sekarang juga!",Spam
8,Apakah kamu sudah membaca email yang saya kirimkan kemarin?,Ham
9,Dapatkan uang tambahan dengan mengikuti survei ini. Klik untuk info lebih lanjut.,Spam
10,"Halo, ingin ikut bergabung dalam acara komunitas minggu ini?",Ham
11,"Hati-hati! Ada link berbahaya yang dikirim ke nomor Anda, jangan klik!",Spam
12,Ayo nonton bareng minggu depan! Ada film baru yang keren.,Ham
13,Peluang bisnis baru! Daftar dan dapatkan bonus besar!,Spam
14,Pagi! Ada yang bisa saya bantu?,Ham
15,Hanya untuk kamu! Dapatkan potongan harga besar untuk produk ini!,Spam
16,Selamat ulang tahun! Semoga hari kamu menyenankan!,Ham
17,Segera lakukan transaksi untuk mendapatkan hadiah menarik!,Spam
18,Apakah kamu bisa membantu saya dengan tugas ini?,Ham
19,"Buruan, harga tiket promo hanya hari ini!",Spam
20,Kamu mau makan siang bareng nanti?,Ham
